product_category_name,total_revenue
beleza_saude,1263138.54
relogios_presentes,1206075.33
cama_mesa_banho,1050936.61
esporte_lazer,993656.51
informatica_acessorios,919640.54
moveis_decoracao,736282.47
cool_stuff,637258.51
utilidades_domesticas,634542.6
automotivo,594363.1
ferramentas_jardim,486432.45
brinquedos,484769.9
bebes,412117.47000000003
perfumaria,400212.94
telefonia,323839.4
moveis_escritorio,275224.49
papelaria,231300.21
pcs,222963.13
pet_shop,214591.41
eletroportateis,191571.48
instrumentos_musicais,191523.78
Unknown,180277.24
eletronicos,160376.63999999998
consoles_games,158000.22
fashion_bolsas_e_acessorios,153656.9
construcao_ferramentas_construcao,145509.39
malas_acessorios,140429.98
eletrodomesticos_2,113585.39
casa_construcao,83207.97
eletrodomesticos,83195.6
agro_industria_e_comercio,72530.47
moveis_sala,69427.26
telefonia_fixa,59622.99
casa_conforto,58828.74
climatizacao,55024.96
audio,50738.4
portateis_casa_forno_e_cafe,47445.71
livros_interesse_geral,46856.88
moveis_cozinha_area_de_servico_jantar_e_jardim,46457.37
construcao_ferramentas_iluminacao,41308.0
construcao_ferramentas_seguranca,40544.52
industria_comercio_e_negocios,39745.61
alimentos,29393.41
market_place,28378.47
construcao_ferramentas_jardim,25769.74
artes,24202.64
fashion_calcados,23767.47
bebidas,22505.9
sinalizacao_e_seguranca,21509.23
moveis_quarto,20278.78
livros_tecnicos,19149.03
construcao_ferramentas_ferramentas,15903.95
alimentos_bebidas,15270.47
fashion_roupa_masculina,10797.82
fashion_underwear_e_moda_praia,9541.55
artigos_de_natal,8800.82
tablets_impressao_imagem,7528.41
cine_foto,6949.36
musica,6034.35
dvds_blu_ray,5999.39
livros_importados,4639.85
artigos_de_festas,4485.18
moveis_colchao_e_estofado,4368.08
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997
fashion_roupa_feminina,2889.44
fashion_esporte,2144.5
la_cuisine,2054.99
artes_e_artesanato,1814.01
fraldas_higiene,1567.59
pc_gamer,1545.95
flores,1110.04
casa_conforto_2,760.27
cds_dvds_musicais,730.0
fashion_roupa_infanto_juvenil,569.85
seguros_e_servicos,283.28999999999996
